network,network_label,participant_id,response_id,pair_id,source,target,prompt_id,protocol,raw_score
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_001,Asia,Smoker,human_survey_v1,ordering_based,0
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_002,Tuberculosis,Bronchitis,human_survey_v1,ordering_based,9
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_003,Asia,Tuberculosis,human_survey_v1,ordering_based,1
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_004,Tuberculosis,Biomarker,human_survey_v1,ordering_based,8
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_005,Asia,Lung Cancer,human_survey_v1,ordering_based,1
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_006,Tuberculosis,Chest X ray,human_survey_v1,ordering_based,6
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_007,Asia,Bronchitis,human_survey_v1,ordering_based,1
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_008,Tuberculosis,Dyspnea,human_survey_v1,ordering_based,10
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_009,Asia,Biomarker,human_survey_v1,ordering_based,2
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_010,Lung Cancer,Bronchitis,human_survey_v1,ordering_based,5
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_011,Asia,Chest X ray,human_survey_v1,ordering_based,1
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_012,Asia,Dyspnea,human_survey_v1,ordering_based,1
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_013,Lung Cancer,Biomarker,human_survey_v1,ordering_based,6
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_014,Lung Cancer,Chest X ray,human_survey_v1,ordering_based,6
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_015,Smoker,Tuberculosis,human_survey_v1,ordering_based,3
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_016,Lung Cancer,Dyspnea,human_survey_v1,ordering_based,6
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_017,Smoker,Lung Cancer,human_survey_v1,ordering_based,8
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_018,Bronchitis,Biomarker,human_survey_v1,ordering_based,4
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_019,Smoker,Bronchitis,human_survey_v1,ordering_based,3
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_020,Bronchitis,Chest X ray,human_survey_v1,ordering_based,3
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_021,Smoker,Biomarker,human_survey_v1,ordering_based,6
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_022,Bronchitis,Dyspnea,human_survey_v1,ordering_based,8
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_023,Smoker,Chest X ray,human_survey_v1,ordering_based,6
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_024,Biomarker,Chest X ray,human_survey_v1,ordering_based,3
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_025,Smoker,Dyspnea,human_survey_v1,ordering_based,7
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_026,Biomarker,Dyspnea,human_survey_v1,ordering_based,8
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_027,Tuberculosis,Lung Cancer,human_survey_v1,ordering_based,2
asia,Asia,asia_participant_001,asia_participant_001,asia_pair_028,Chest X ray,Dyspnea,human_survey_v1,ordering_based,3
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_001,Asia,Smoker,human_survey_v1,ordering_based,0
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_002,Tuberculosis,Bronchitis,human_survey_v1,ordering_based,8
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_003,Asia,Tuberculosis,human_survey_v1,ordering_based,0
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_004,Tuberculosis,Biomarker,human_survey_v1,ordering_based,4
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_005,Asia,Lung Cancer,human_survey_v1,ordering_based,0
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_006,Tuberculosis,Chest X ray,human_survey_v1,ordering_based,10
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_007,Asia,Bronchitis,human_survey_v1,ordering_based,1
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_008,Tuberculosis,Dyspnea,human_survey_v1,ordering_based,5
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_009,Asia,Biomarker,human_survey_v1,ordering_based,0
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_010,Lung Cancer,Bronchitis,human_survey_v1,ordering_based,8
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_011,Asia,Chest X ray,human_survey_v1,ordering_based,0
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_012,Asia,Dyspnea,human_survey_v1,ordering_based,6
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_013,Lung Cancer,Biomarker,human_survey_v1,ordering_based,6
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_014,Lung Cancer,Chest X ray,human_survey_v1,ordering_based,10
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_015,Smoker,Tuberculosis,human_survey_v1,ordering_based,6
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_016,Lung Cancer,Dyspnea,human_survey_v1,ordering_based,5
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_017,Smoker,Lung Cancer,human_survey_v1,ordering_based,10
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_018,Bronchitis,Biomarker,human_survey_v1,ordering_based,2
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_019,Smoker,Bronchitis,human_survey_v1,ordering_based,8
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_020,Bronchitis,Chest X ray,human_survey_v1,ordering_based,6
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_021,Smoker,Biomarker,human_survey_v1,ordering_based,0
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_022,Bronchitis,Dyspnea,human_survey_v1,ordering_based,6
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_023,Smoker,Chest X ray,human_survey_v1,ordering_based,8
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_024,Biomarker,Chest X ray,human_survey_v1,ordering_based,5
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_025,Smoker,Dyspnea,human_survey_v1,ordering_based,3
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_026,Biomarker,Dyspnea,human_survey_v1,ordering_based,3
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_027,Tuberculosis,Lung Cancer,human_survey_v1,ordering_based,8
asia,Asia,asia_participant_002,asia_participant_002,asia_pair_028,Chest X ray,Dyspnea,human_survey_v1,ordering_based,5
