network,network_label,participant_id,response_id,pair_id,source,target,prompt_id,protocol,raw_score
student,Student,student_participant_001,student_participant_001,student_pair_001,IQ,Grade,human_survey_v1,ordering_based,5
student,Student,student_participant_001,student_participant_001,student_pair_002,Difficulty,SAT,human_survey_v1,ordering_based,3
student,Student,student_participant_001,student_participant_001,student_pair_003,Difficulty,Grade,human_survey_v1,ordering_based,9
student,Student,student_participant_001,student_participant_001,student_pair_004,SAT,Grade,human_survey_v1,ordering_based,5
student,Student,student_participant_001,student_participant_001,student_pair_005,Grade,Letter,human_survey_v1,ordering_based,7
student,Student,student_participant_001,student_participant_001,student_pair_006,Letter,SAT,human_survey_v1,ordering_based,1
student,Student,student_participant_001,student_participant_001,student_pair_007,IQ,SAT,human_survey_v1,ordering_based,8
student,Student,student_participant_001,student_participant_001,student_pair_008,Difficulty,Letter,human_survey_v1,ordering_based,8
student,Student,student_participant_001,student_participant_001,student_pair_009,IQ,Letter,human_survey_v1,ordering_based,1
student,Student,student_participant_001,student_participant_001,student_pair_010,IQ,Difficulty,human_survey_v1,ordering_based,3
student,Student,student_participant_002,student_participant_002,student_pair_001,IQ,Grade,human_survey_v1,ordering_based,7
student,Student,student_participant_002,student_participant_002,student_pair_002,Difficulty,SAT,human_survey_v1,ordering_based,0
student,Student,student_participant_002,student_participant_002,student_pair_003,Difficulty,Grade,human_survey_v1,ordering_based,9
student,Student,student_participant_002,student_participant_002,student_pair_004,SAT,Grade,human_survey_v1,ordering_based,2
student,Student,student_participant_002,student_participant_002,student_pair_005,Grade,Letter,human_survey_v1,ordering_based,1
student,Student,student_participant_002,student_participant_002,student_pair_006,Letter,SAT,human_survey_v1,ordering_based,0
student,Student,student_participant_002,student_participant_002,student_pair_007,IQ,SAT,human_survey_v1,ordering_based,3
student,Student,student_participant_002,student_participant_002,student_pair_008,Difficulty,Letter,human_survey_v1,ordering_based,0
student,Student,student_participant_002,student_participant_002,student_pair_009,IQ,Letter,human_survey_v1,ordering_based,0
student,Student,student_participant_002,student_participant_002,student_pair_010,IQ,Difficulty,human_survey_v1,ordering_based,0
student,Student,student_participant_003,student_participant_003,student_pair_001,IQ,Grade,human_survey_v1,ordering_based,7
student,Student,student_participant_003,student_participant_003,student_pair_002,Difficulty,SAT,human_survey_v1,ordering_based,3
student,Student,student_participant_003,student_participant_003,student_pair_003,Difficulty,Grade,human_survey_v1,ordering_based,10
student,Student,student_participant_003,student_participant_003,student_pair_004,SAT,Grade,human_survey_v1,ordering_based,3
student,Student,student_participant_003,student_participant_003,student_pair_005,Grade,Letter,human_survey_v1,ordering_based,6
student,Student,student_participant_003,student_participant_003,student_pair_006,Letter,SAT,human_survey_v1,ordering_based,2
student,Student,student_participant_003,student_participant_003,student_pair_007,IQ,SAT,human_survey_v1,ordering_based,8
student,Student,student_participant_003,student_participant_003,student_pair_008,Difficulty,Letter,human_survey_v1,ordering_based,5
student,Student,student_participant_003,student_participant_003,student_pair_009,IQ,Letter,human_survey_v1,ordering_based,5
student,Student,student_participant_003,student_participant_003,student_pair_010,IQ,Difficulty,human_survey_v1,ordering_based,7
student,Student,student_participant_004,student_participant_004,student_pair_001,IQ,Grade,human_survey_v1,ordering_based,2
student,Student,student_participant_004,student_participant_004,student_pair_002,Difficulty,SAT,human_survey_v1,ordering_based,7
student,Student,student_participant_004,student_participant_004,student_pair_003,Difficulty,Grade,human_survey_v1,ordering_based,7
student,Student,student_participant_004,student_participant_004,student_pair_004,SAT,Grade,human_survey_v1,ordering_based,-3
student,Student,student_participant_004,student_participant_004,student_pair_005,Grade,Letter,human_survey_v1,ordering_based,3
student,Student,student_participant_004,student_participant_004,student_pair_006,Letter,SAT,human_survey_v1,ordering_based,-3
student,Student,student_participant_004,student_participant_004,student_pair_007,IQ,SAT,human_survey_v1,ordering_based,2
student,Student,student_participant_004,student_participant_004,student_pair_008,Difficulty,Letter,human_survey_v1,ordering_based,0
student,Student,student_participant_004,student_participant_004,student_pair_009,IQ,Letter,human_survey_v1,ordering_based,0
student,Student,student_participant_004,student_participant_004,student_pair_010,IQ,Difficulty,human_survey_v1,ordering_based,0
student,Student,student_participant_005,student_participant_005,student_pair_001,IQ,Grade,human_survey_v1,ordering_based,5
student,Student,student_participant_005,student_participant_005,student_pair_002,Difficulty,SAT,human_survey_v1,ordering_based,3
student,Student,student_participant_005,student_participant_005,student_pair_003,Difficulty,Grade,human_survey_v1,ordering_based,5
student,Student,student_participant_005,student_participant_005,student_pair_004,SAT,Grade,human_survey_v1,ordering_based,-1
student,Student,student_participant_005,student_participant_005,student_pair_005,Grade,Letter,human_survey_v1,ordering_based,4
student,Student,student_participant_005,student_participant_005,student_pair_006,Letter,SAT,human_survey_v1,ordering_based,0
student,Student,student_participant_005,student_participant_005,student_pair_007,IQ,SAT,human_survey_v1,ordering_based,6
student,Student,student_participant_005,student_participant_005,student_pair_008,Difficulty,Letter,human_survey_v1,ordering_based,1
student,Student,student_participant_005,student_participant_005,student_pair_009,IQ,Letter,human_survey_v1,ordering_based,2
student,Student,student_participant_005,student_participant_005,student_pair_010,IQ,Difficulty,human_survey_v1,ordering_based,0
student,Student,student_participant_006,student_participant_006,student_pair_001,IQ,Grade,human_survey_v1,ordering_based,5
student,Student,student_participant_006,student_participant_006,student_pair_002,Difficulty,SAT,human_survey_v1,ordering_based,2
student,Student,student_participant_006,student_participant_006,student_pair_003,Difficulty,Grade,human_survey_v1,ordering_based,7
student,Student,student_participant_006,student_participant_006,student_pair_004,SAT,Grade,human_survey_v1,ordering_based,-3
