network,network_label,section_id,model,expert_type,run_id,pair_id,source,target,prompt_id,protocol,raw_score
environmental_factors_leading_to_waterborne_diseases,Environmental Factors leading to Waterborne Diseases,2.4,ChatGPT 4.0,llm_simulated_expert,run_001,environmental_factors_leading_to_waterborne_diseases_pair_001,Percolation,Rainfall,docx_llm_survey_v1,ordering_based,0
environmental_factors_leading_to_waterborne_diseases,Environmental Factors leading to Waterborne Diseases,2.4,ChatGPT 4.0,llm_simulated_expert,run_001,environmental_factors_leading_to_waterborne_diseases_pair_002,Elevation,Land Use,docx_llm_survey_v1,ordering_based,4
environmental_factors_leading_to_waterborne_diseases,Environmental Factors leading to Waterborne Diseases,2.4,ChatGPT 4.0,llm_simulated_expert,run_001,environmental_factors_leading_to_waterborne_diseases_pair_003,Percolation,Flooding,docx_llm_survey_v1,ordering_based,-8
environmental_factors_leading_to_waterborne_diseases,Environmental Factors leading to Waterborne Diseases,2.4,ChatGPT 4.0,llm_simulated_expert,run_001,environmental_factors_leading_to_waterborne_diseases_pair_004,Elevation,Nitrogen,docx_llm_survey_v1,ordering_based,3
environmental_factors_leading_to_waterborne_diseases,Environmental Factors leading to Waterborne Diseases,2.4,ChatGPT 4.0,llm_simulated_expert,run_001,environmental_factors_leading_to_waterborne_diseases_pair_005,Percolation,Elevation,docx_llm_survey_v1,ordering_based,0
environmental_factors_leading_to_waterborne_diseases,Environmental Factors leading to Waterborne Diseases,2.4,ChatGPT 4.0,llm_simulated_expert,run_001,environmental_factors_leading_to_waterborne_diseases_pair_006,Elevation,Fat/Oil,docx_llm_survey_v1,ordering_based,0
environmental_factors_leading_to_waterborne_diseases,Environmental Factors leading to Waterborne Diseases,2.4,ChatGPT 4.0,llm_simulated_expert,run_001,environmental_factors_leading_to_waterborne_diseases_pair_007,Percolation,Population Density,docx_llm_survey_v1,ordering_based,0
environmental_factors_leading_to_waterborne_diseases,Environmental Factors leading to Waterborne Diseases,2.4,ChatGPT 4.0,llm_simulated_expert,run_001,environmental_factors_leading_to_waterborne_diseases_pair_008,Elevation,Bacteria Count,docx_llm_survey_v1,ordering_based,3
environmental_factors_leading_to_waterborne_diseases,Environmental Factors leading to Waterborne Diseases,2.4,ChatGPT 4.0,llm_simulated_expert,run_001,environmental_factors_leading_to_waterborne_diseases_pair_009,Percolation,Land Use,docx_llm_survey_v1,ordering_based,0
environmental_factors_leading_to_waterborne_diseases,Environmental Factors leading to Waterborne Diseases,2.4,ChatGPT 4.0,llm_simulated_expert,run_001,environmental_factors_leading_to_waterborne_diseases_pair_010,Elevation,Diarrhoea,docx_llm_survey_v1,ordering_based,2
environmental_factors_leading_to_waterborne_diseases,Environmental Factors leading to Waterborne Diseases,2.4,ChatGPT 4.0,llm_simulated_expert,run_001,environmental_factors_leading_to_waterborne_diseases_pair_011,Percolation,Nitrogen,docx_llm_survey_v1,ordering_based,4
environmental_factors_leading_to_waterborne_diseases,Environmental Factors leading to Waterborne Diseases,2.4,ChatGPT 4.0,llm_simulated_expert,run_001,environmental_factors_leading_to_waterborne_diseases_pair_012,Elevation,Typhoid,docx_llm_survey_v1,ordering_based,2
environmental_factors_leading_to_waterborne_diseases,Environmental Factors leading to Waterborne Diseases,2.4,ChatGPT 4.0,llm_simulated_expert,run_001,environmental_factors_leading_to_waterborne_diseases_pair_013,Percolation,Fat/Oil,docx_llm_survey_v1,ordering_based,2
environmental_factors_leading_to_waterborne_diseases,Environmental Factors leading to Waterborne Diseases,2.4,ChatGPT 4.0,llm_simulated_expert,run_001,environmental_factors_leading_to_waterborne_diseases_pair_014,Population Density,Land Use,docx_llm_survey_v1,ordering_based,8
environmental_factors_leading_to_waterborne_diseases,Environmental Factors leading to Waterborne Diseases,2.4,ChatGPT 4.0,llm_simulated_expert,run_001,environmental_factors_leading_to_waterborne_diseases_pair_015,Percolation,Bacteria Count,docx_llm_survey_v1,ordering_based,4
environmental_factors_leading_to_waterborne_diseases,Environmental Factors leading to Waterborne Diseases,2.4,ChatGPT 4.0,llm_simulated_expert,run_001,environmental_factors_leading_to_waterborne_diseases_pair_016,Population Density,Nitrogen,docx_llm_survey_v1,ordering_based,5
