network,network_label,section_id,model,expert_type,run_id,pair_id,source,target,prompt_id,protocol,raw_score
storm_risk,Storm Risk,2.15,ChatGPT 4.0,llm_simulated_expert,run_001,storm_risk_pair_001,Natural Variability,Climate Change,docx_llm_survey_v1,ordering_based,-7
storm_risk,Storm Risk,2.15,ChatGPT 4.0,llm_simulated_expert,run_001,storm_risk_pair_002,Open Water Season,Tide,docx_llm_survey_v1,ordering_based,0
storm_risk,Storm Risk,2.15,ChatGPT 4.0,llm_simulated_expert,run_001,storm_risk_pair_003,Natural Variability,Arctic Storms,docx_llm_survey_v1,ordering_based,5
storm_risk,Storm Risk,2.15,ChatGPT 4.0,llm_simulated_expert,run_001,storm_risk_pair_004,Open Water Season,Sea Level,docx_llm_survey_v1,ordering_based,2
storm_risk,Storm Risk,2.15,ChatGPT 4.0,llm_simulated_expert,run_001,storm_risk_pair_005,Natural Variability,Open Water Season,docx_llm_survey_v1,ordering_based,4
storm_risk,Storm Risk,2.15,ChatGPT 4.0,llm_simulated_expert,run_001,storm_risk_pair_006,Open Water Season,Saltwater Inundation,docx_llm_survey_v1,ordering_based,6
storm_risk,Storm Risk,2.15,ChatGPT 4.0,llm_simulated_expert,run_001,storm_risk_pair_007,Natural Variability,Storm Surge,docx_llm_survey_v1,ordering_based,3
storm_risk,Storm Risk,2.15,ChatGPT 4.0,llm_simulated_expert,run_001,storm_risk_pair_008,Open Water Season,Coastal Retreat,docx_llm_survey_v1,ordering_based,5
storm_risk,Storm Risk,2.15,ChatGPT 4.0,llm_simulated_expert,run_001,storm_risk_pair_009,Natural Variability,Tide,docx_llm_survey_v1,ordering_based,0
storm_risk,Storm Risk,2.15,ChatGPT 4.0,llm_simulated_expert,run_001,storm_risk_pair_010,Open Water Season,Nature of Ecosystem,docx_llm_survey_v1,ordering_based,4
storm_risk,Storm Risk,2.15,ChatGPT 4.0,llm_simulated_expert,run_001,storm_risk_pair_011,Natural Variability,Sea Level,docx_llm_survey_v1,ordering_based,3
storm_risk,Storm Risk,2.15,ChatGPT 4.0,llm_simulated_expert,run_001,storm_risk_pair_012,Open Water Season,Ecosystem Damage,docx_llm_survey_v1,ordering_based,6
storm_risk,Storm Risk,2.15,ChatGPT 4.0,llm_simulated_expert,run_001,storm_risk_pair_013,Natural Variability,Saltwater Inundation,docx_llm_survey_v1,ordering_based,3
storm_risk,Storm Risk,2.15,ChatGPT 4.0,llm_simulated_expert,run_001,storm_risk_pair_014,Storm Surge,Tide,docx_llm_survey_v1,ordering_based,0
storm_risk,Storm Risk,2.15,ChatGPT 4.0,llm_simulated_expert,run_001,storm_risk_pair_015,Natural Variability,Coastal Retreat,docx_llm_survey_v1,ordering_based,2
storm_risk,Storm Risk,2.15,ChatGPT 4.0,llm_simulated_expert,run_001,storm_risk_pair_016,Storm Surge,Sea Level,docx_llm_survey_v1,ordering_based,0
storm_risk,Storm Risk,2.15,ChatGPT 4.0,llm_simulated_expert,run_001,storm_risk_pair_017,Natural Variability,Nature of Ecosystem,docx_llm_survey_v1,ordering_based,2
storm_risk,Storm Risk,2.15,ChatGPT 4.0,llm_simulated_expert,run_001,storm_risk_pair_018,Storm Surge,Saltwater Inundation,docx_llm_survey_v1,ordering_based,9
storm_risk,Storm Risk,2.15,ChatGPT 4.0,llm_simulated_expert,run_001,storm_risk_pair_019,Natural Variability,Ecosystem Damage,docx_llm_survey_v1,ordering_based,3
