network,network_label,section_id,model,expert_type,run_id,pair_id,source,target,prompt_id,protocol,raw_score
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_001,Infrastructure Failure,Fuel Price,docx_llm_survey_v1,ordering_based,0
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_002,Technology Implementation,Inaccurate Forecasting,docx_llm_survey_v1,ordering_based,7
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_003,Infrastructure Failure,Delay in Transport,docx_llm_survey_v1,ordering_based,8
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_004,Technology Implementation,Supplier Risk,docx_llm_survey_v1,ordering_based,4
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_005,Infrastructure Failure,Technology Risk,docx_llm_survey_v1,ordering_based,6
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_006,Technology Implementation,Input Price,docx_llm_survey_v1,ordering_based,2
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_007,Infrastructure Failure,Technology Implementation,docx_llm_survey_v1,ordering_based,5
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_008,Technology Implementation,Product Quality,docx_llm_survey_v1,ordering_based,7
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_009,Infrastructure Failure,Transport Risk,docx_llm_survey_v1,ordering_based,8
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_010,Technology Implementation,Product Technology,docx_llm_survey_v1,ordering_based,6
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_011,Infrastructure Failure,Manufacturer,docx_llm_survey_v1,ordering_based,6
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_012,Transport Risk,Manufacturer,docx_llm_survey_v1,ordering_based,6
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_013,Infrastructure Failure,Profitability,docx_llm_survey_v1,ordering_based,5
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_014,Transport Risk,Profitability,docx_llm_survey_v1,ordering_based,6
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_015,Infrastructure Failure,Business Continuity,docx_llm_survey_v1,ordering_based,7
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_016,Transport Risk,Business Continuity,docx_llm_survey_v1,ordering_based,7
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_017,Infrastructure Failure,Inventory Risk,docx_llm_survey_v1,ordering_based,6
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_018,Transport Risk,Inventory Risk,docx_llm_survey_v1,ordering_based,7
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_019,Infrastructure Failure,Lead Time,docx_llm_survey_v1,ordering_based,7
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_020,Transport Risk,Lead Time,docx_llm_survey_v1,ordering_based,7
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_021,Infrastructure Failure,Inaccurate Forecasting,docx_llm_survey_v1,ordering_based,2
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_022,Transport Risk,Inaccurate Forecasting,docx_llm_survey_v1,ordering_based,3
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_023,Infrastructure Failure,Supplier Risk,docx_llm_survey_v1,ordering_based,5
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_024,Transport Risk,Supplier Risk,docx_llm_survey_v1,ordering_based,5
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_025,Infrastructure Failure,Input Price,docx_llm_survey_v1,ordering_based,3
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_026,Transport Risk,Input Price,docx_llm_survey_v1,ordering_based,3
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_027,Infrastructure Failure,Product Quality,docx_llm_survey_v1,ordering_based,3
supply_chain,Supply Chain,2.17,ChatGPT 4.0,llm_simulated_expert,run_001,supply_chain_pair_028,Transport Risk,Product Quality,docx_llm_survey_v1,ordering_based,2
